-107.195462,43.44755,Powder River 2 - North Fork Buffalo Creek Powder River 2 - North Fork Buffalo Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.8; Drainage: Powder River; Access dates: 02/01 - 09/03; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Powder River 2 - North Fork Buffalo Creek Powder River 2 - North Fork Buffalo Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.8; Drainage: Powder River; Access dates: 02/01 - 09/03; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",43.44755,", lon:",-107.195462,"},",,"{name: ""Powder River 2 - North Fork Buffalo Creek Powder River 2 - North Fork Buffalo Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.8; Drainage: Powder River; Access dates: 02/01 - 09/03; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:43.44755, lon:-107.195462},"
-104.365865,43.916824,Cheyenne River 2 - Geier Reservoir Cheyenne River 2 - Geier Reservoir; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Pond; Size: 31.0 Acres; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Channel Catfish; ? Crappie; ? Largemouth Bass; ? Yellow Perch; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area,,,,Wyoming,,USA,,"{name: """,Cheyenne River 2 - Geier Reservoir Cheyenne River 2 - Geier Reservoir; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Pond; Size: 31.0 Acres; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Channel Catfish; ? Crappie; ? Largemouth Bass; ? Yellow Perch; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area,""", lat:",43.916824,", lon:",-104.365865,"},",,"{name: ""Cheyenne River 2 - Geier Reservoir Cheyenne River 2 - Geier Reservoir; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Pond; Size: 31.0 Acres; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Channel Catfish; ? Crappie; ? Largemouth Bass; ? Yellow Perch; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area"", lat:43.916824, lon:-104.365865},"
-104.098043,43.8882,Cheyenne River 1 - Stockade Beaver Creek Cheyenne River 1 - Stockade Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.1; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; Footnote 1: Parking along county road only. Fishing Area,,,,Wyoming,,USA,,"{name: """,Cheyenne River 1 - Stockade Beaver Creek Cheyenne River 1 - Stockade Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.1; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; Footnote 1: Parking along county road only. Fishing Area,""", lat:",43.8882,", lon:",-104.098043,"},",,"{name: ""Cheyenne River 1 - Stockade Beaver Creek Cheyenne River 1 - Stockade Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.1; Drainage: Cheyenne River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; Footnote 1: Parking along county road only. Fishing Area"", lat:43.8882, lon:-104.098043},"
-104.408748,44.575735,Belle Fourche River 4 - Beaver Creek Belle Fourche River 4 - Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.0; Drainage: Belle Fourche River; Access dates: 1/1-6/14; 7/1 - 09/30; 11/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area,,,,Wyoming,,USA,,"{name: """,Belle Fourche River 4 - Beaver Creek Belle Fourche River 4 - Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.0; Drainage: Belle Fourche River; Access dates: 1/1-6/14; 7/1 - 09/30; 11/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area,""", lat:",44.575735,", lon:",-104.408748,"},",,"{name: ""Belle Fourche River 4 - Beaver Creek Belle Fourche River 4 - Beaver Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 1.0; Drainage: Belle Fourche River; Access dates: 1/1-6/14; 7/1 - 09/30; 11/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only. Fishing Area"", lat:44.575735, lon:-104.408748},"
-104.314849,44.436449,Belle Fourche River 1 - Medicine Lake Belle Fourche River 1 - Medicine Lake; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Lake; Size: 35.0 Acres; Drainage: Belle Fourche River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Cutthrout Trout; ? Rainbow Trout; Footnote 1: No ice fishing is permitted.; Footnote 2: Vehicles must stay off dam. Fishing Area,,,,Wyoming,,USA,,"{name: """,Belle Fourche River 1 - Medicine Lake Belle Fourche River 1 - Medicine Lake; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Lake; Size: 35.0 Acres; Drainage: Belle Fourche River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Cutthrout Trout; ? Rainbow Trout; Footnote 1: No ice fishing is permitted.; Footnote 2: Vehicles must stay off dam. Fishing Area,""", lat:",44.436449,", lon:",-104.314849,"},",,"{name: ""Belle Fourche River 1 - Medicine Lake Belle Fourche River 1 - Medicine Lake; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Lake; Size: 35.0 Acres; Drainage: Belle Fourche River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Cutthrout Trout; ? Rainbow Trout; Footnote 1: No ice fishing is permitted.; Footnote 2: Vehicles must stay off dam. Fishing Area"", lat:44.436449, lon:-104.314849},"
-106.044174,42.490888,North Platte River 17 - Deer Creek/Texas Creek North Platte River 17 - Deer Creek/Texas Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 9.7; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Brown Trout; ? Rainbow Trout Fishing Area,,,,Wyoming,,USA,,"{name: """,North Platte River 17 - Deer Creek/Texas Creek North Platte River 17 - Deer Creek/Texas Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 9.7; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Brown Trout; ? Rainbow Trout Fishing Area,""", lat:",42.490888,", lon:",-106.044174,"},",,"{name: ""North Platte River 17 - Deer Creek/Texas Creek North Platte River 17 - Deer Creek/Texas Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 9.7; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; ? Brown Trout; ? Rainbow Trout Fishing Area"", lat:42.490888, lon:-106.044174},"
-106.224208,42.512412,North Platte River 15 - Bates Creek North Platte River 15 - Bates Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.3; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: NO ORVs. Fishing Area,,,,Wyoming,,USA,,"{name: """,North Platte River 15 - Bates Creek North Platte River 15 - Bates Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.3; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: NO ORVs. Fishing Area,""", lat:",42.512412,", lon:",-106.224208,"},",,"{name: ""North Platte River 15 - Bates Creek North Platte River 15 - Bates Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Casper; Access type: Creek; River miles: 2.3; Drainage: North Platte River; Access dates: 01/01 - 12/31; Fish species:; ? Brook Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: NO ORVs. Fishing Area"", lat:42.512412, lon:-106.224208},"
-108.844838,44.711422,Big Horn River 2 - Alkali Creek Big Horn River 2 - Alkali Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River; River miles: 1.3; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 2 - Alkali Creek Big Horn River 2 - Alkali Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River; River miles: 1.3; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,""", lat:",44.711422,", lon:",-108.844838,"},",,"{name: ""Big Horn River 2 - Alkali Creek Big Horn River 2 - Alkali Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River; River miles: 1.3; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area"", lat:44.711422, lon:-108.844838},"
-108.660385,44.728599,Big Horn River 3 - Shoshone River Big Horn River 3 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 3 - Shoshone River Big Horn River 3 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,""", lat:",44.728599,", lon:",-108.660385,"},",,"{name: ""Big Horn River 3 - Shoshone River Big Horn River 3 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area"", lat:44.728599, lon:-108.660385},"
-108.613671,44.736397,Big Horn River 5 - Shoshone River Big Horn River 5 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 5 - Shoshone River Big Horn River 5 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area,""", lat:",44.736397,", lon:",-108.613671,"},",,"{name: ""Big Horn River 5 - Shoshone River Big Horn River 5 - Shoshone River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Bear River Cutthroat; ? Brown Trout; ? Rainbow Trout Fishing Area"", lat:44.736397, lon:-108.613671},"
-107.97627,44.285058,Big Horn River 9 - Bighorn River Big Horn River 9 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 9 - Bighorn River Big Horn River 9 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.285058,", lon:",-107.97627,"},",,"{name: ""Big Horn River 9 - Bighorn River Big Horn River 9 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 2.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.285058, lon:-107.97627},"
-107.97055,44.278684,Big Horn River 10 - Bighorn River Big Horn River 10 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 10 - Bighorn River Big Horn River 10 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.278684,", lon:",-107.97055,"},",,"{name: ""Big Horn River 10 - Bighorn River Big Horn River 10 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.1; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.278684, lon:-107.97055},"
-107.947754,44.237844,Big Horn River 11 - Bighorn River Big Horn River 11 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.7; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 11 - Bighorn River Big Horn River 11 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.7; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.237844,", lon:",-107.947754,"},",,"{name: ""Big Horn River 11 - Bighorn River Big Horn River 11 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.7; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.237844, lon:-107.947754},"
-107.936934,44.263453,Big Horn River 12 - Bighorn River/Nowood River Big Horn River 12 - Bighorn River/Nowood River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 6.73; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 12 - Bighorn River/Nowood River Big Horn River 12 - Bighorn River/Nowood River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 6.73; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.263453,", lon:",-107.936934,"},",,"{name: ""Big Horn River 12 - Bighorn River/Nowood River Big Horn River 12 - Bighorn River/Nowood River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 6.73; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.263453, lon:-107.936934},"
-107.608098,44.24633,Big Horn River 14 - Paint Rock Creek/Laddie Creek Big Horn River 14 - Paint Rock Creek/Laddie Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River miles: 0.6; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Rainbow Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 14 - Paint Rock Creek/Laddie Creek Big Horn River 14 - Paint Rock Creek/Laddie Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River miles: 0.6; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Rainbow Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.24633,", lon:",-107.608098,"},",,"{name: ""Big Horn River 14 - Paint Rock Creek/Laddie Creek Big Horn River 14 - Paint Rock Creek/Laddie Creek; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: Creek; River miles: 0.6; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Brown Trout; ? Rainbow Trout; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.24633, lon:-107.608098},"
-107.920322,44.192705,Big Horn River 16 - Bighorn River Big Horn River 16 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.75; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 16 - Bighorn River Big Horn River 16 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.75; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.192705,", lon:",-107.920322,"},",,"{name: ""Big Horn River 16 - Bighorn River Big Horn River 16 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 0.75; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.192705, lon:-107.920322},"
-107.929403,44.099508,Big Horn River 17 - Bighorn River Big Horn River 17 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.06; Size: 20.0 Acres; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,,,,Wyoming,,USA,,"{name: """,Big Horn River 17 - Bighorn River Big Horn River 17 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.06; Size: 20.0 Acres; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area,""", lat:",44.099508,", lon:",-107.929403,"},",,"{name: ""Big Horn River 17 - Bighorn River Big Horn River 17 - Bighorn River; Fishing Area; Wyoming USA; Site's information last updated on: Aug 04; 2024; Regional Office: Cody; Access type: River; River miles: 1.06; Size: 20.0 Acres; Drainage: Big Horn River; Access dates: 01/01 - 12/31; Fish species:; ? Channel Catfish; ? Sauger; ? Shovelnose Sturgeon; Footnote 1: All vehicles must park in designated ?; parking areas only.; Footnote 2: Motorized vehicle access limited to ?; designated roads only. Designated roads are marked ?; with a white arrow. Fishing Area"", lat:44.099508, lon:-107.929403},"
